	cluster	marker	week	deg_number
158	rna_gene_list_cluster5	H3K4me3	4	4
159	rna_gene_list_cluster4	H3K4me3	4	58
160	rna_gene_list_cluster3	H3K4me3	4	294
161	rna_gene_list_cluster1	H3K4me3	4	180
162	rna_gene_list_cluster8	H3K4me3	7	97
163	rna_gene_list_cluster7	H3K4me3	7	95
164	rna_gene_list_cluster2	H3K4me3	7	1476
165	rna_gene_list_cluster6	H3K4me3	7	114
166	rna_gene_list_cluster9	H3K4me3	7	154
167	rna_gene_list_cluster5	H3K4me3	7	7
168	rna_gene_list_cluster4	H3K4me3	7	84
169	rna_gene_list_cluster3	H3K4me3	7	417
170	rna_gene_list_cluster1	H3K4me3	7	304
171	rna_gene_list_cluster8	H3K4me3	10	119
172	rna_gene_list_cluster7	H3K4me3	10	77
173	rna_gene_list_cluster2	H3K4me3	10	1781
174	rna_gene_list_cluster6	H3K4me3	10	213
175	rna_gene_list_cluster9	H3K4me3	10	196
176	rna_gene_list_cluster5	H3K4me3	10	6
177	rna_gene_list_cluster4	H3K4me3	10	165
178	rna_gene_list_cluster3	H3K4me3	10	423
179	rna_gene_list_cluster1	H3K4me3	10	497
180	rna_gene_list_cluster8	H3K27me3	2	34
181	rna_gene_list_cluster7	H3K27me3	2	18
182	rna_gene_list_cluster2	H3K27me3	2	612
183	rna_gene_list_cluster6	H3K27me3	2	31
184	rna_gene_list_cluster9	H3K27me3	2	53
185	rna_gene_list_cluster5	H3K27me3	2	3
186	rna_gene_list_cluster4	H3K27me3	2	38
187	rna_gene_list_cluster3	H3K27me3	2	103
188	rna_gene_list_cluster1	H3K27me3	2	91
189	rna_gene_list_cluster8	H3K27me3	4	7
190	rna_gene_list_cluster7	H3K27me3	4	0
191	rna_gene_list_cluster2	H3K27me3	4	65
192	rna_gene_list_cluster6	H3K27me3	4	7
193	rna_gene_list_cluster9	H3K27me3	4	10
194	rna_gene_list_cluster5	H3K27me3	4	0
195	rna_gene_list_cluster4	H3K27me3	4	3
196	rna_gene_list_cluster3	H3K27me3	4	21
197	rna_gene_list_cluster1	H3K27me3	4	7
198	rna_gene_list_cluster8	H3K27me3	7	4
199	rna_gene_list_cluster7	H3K27me3	7	6
200	rna_gene_list_cluster2	H3K27me3	7	219
201	rna_gene_list_cluster6	H3K27me3	7	17
202	rna_gene_list_cluster9	H3K27me3	7	19
203	rna_gene_list_cluster5	H3K27me3	7	1
204	rna_gene_list_cluster4	H3K27me3	7	6
205	rna_gene_list_cluster3	H3K27me3	7	38
206	rna_gene_list_cluster1	H3K27me3	7	57
207	rna_gene_list_cluster8	H3K27me3	10	7
208	rna_gene_list_cluster7	H3K27me3	10	2
209	rna_gene_list_cluster2	H3K27me3	10	240
210	rna_gene_list_cluster6	H3K27me3	10	13
211	rna_gene_list_cluster9	H3K27me3	10	16
212	rna_gene_list_cluster5	H3K27me3	10	1
213	rna_gene_list_cluster4	H3K27me3	10	9
214	rna_gene_list_cluster3	H3K27me3	10	37
215	rna_gene_list_cluster1	H3K27me3	10	57
